90'+1'		Match ends, Hull City 1, Tottenham Hotspur 7.
90'		Second Half ends, Hull City 1, Tottenham Hotspur 7.
90'		Delay over. They are ready to continue.
90'		Delay in match Andrea Ranocchia (Hull City) because of an injury.
89'		Attempt blocked. Vincent Janssen (Tottenham Hotspur) left footed shot from outside the box is blocked. Assisted by Mousa Dembélé.
87'		Goal! Hull City 1, Tottenham Hotspur 7. Toby Alderweireld (Tottenham Hotspur) right footed shot from the centre of the box to the bottom left corner. Assisted by Kieran Trippier with a cross.
87'		Corner, Tottenham Hotspur. Conceded by Andrea Ranocchia.
86'		Son Heung-Min (Tottenham Hotspur) wins a free kick in the attacking half.
86'		Foul by Alfred N'Diaye (Hull City).
84'		Goal! Hull City 1, Tottenham Hotspur 6. Ben Davies (Tottenham Hotspur) left footed shot from outside the box to the bottom right corner. Assisted by Victor Wanyama following a set piece situation.
84'		Kieran Trippier (Tottenham Hotspur) wins a free kick on the right wing.
84'		Foul by Andrew Robertson (Hull City).
82'		Attempt saved. Moussa Sissoko (Tottenham Hotspur) right footed shot from outside the box is saved in the centre of the goal.
80'		Attempt missed. Christian Eriksen (Tottenham Hotspur) left footed shot from the left side of the box misses to the right. Assisted by Son Heung-Min.
80'		Mousa Dembélé (Tottenham Hotspur) wins a free kick in the defensive half.
80'		Foul by Alfred N'Diaye (Hull City).
79'		Substitution, Tottenham Hotspur. Vincent Janssen replaces Harry Kane.
78'		Hand ball by Kamil Grosicki (Hull City).
77'		Attempt missed. Harry Kane (Tottenham Hotspur) right footed shot from a difficult angle on the right is close, but misses to the right. Assisted by Kieran Trippier with a cross.
73'		Substitution, Tottenham Hotspur. Moussa Sissoko replaces Dele Alli.
73'		Substitution, Tottenham Hotspur. Mousa Dembélé replaces Eric Dier.
73'		Substitution, Hull City. Andrew Robertson replaces Josh Tymon.
72'		Substitution, Hull City. Ahmed Elmohamady replaces Jarrod Bowen.
72'		Goal! Hull City 1, Tottenham Hotspur 5. Harry Kane (Tottenham Hotspur) left footed shot from the centre of the box to the bottom left corner. Assisted by Dele Alli.
69'		Goal! Hull City 1, Tottenham Hotspur 4. Victor Wanyama (Tottenham Hotspur) header from the left side of the six yard box to the bottom left corner. Assisted by Christian Eriksen with a cross following a set piece situation.
68'		Foul by Tom Huddlestone (Hull City).
68'		Christian Eriksen (Tottenham Hotspur) wins a free kick on the right wing.
67'		Attempt saved. Dele Alli (Tottenham Hotspur) right footed shot from outside the box is saved in the bottom right corner. Assisted by Son Heung-Min.
67'		Attempt saved. Christian Eriksen (Tottenham Hotspur) right footed shot from the centre of the box is saved in the bottom left corner. Assisted by Dele Alli.
66'		Goal! Hull City 1, Tottenham Hotspur 3. Sam Clucas (Hull City) left footed shot from the centre of the box to the bottom right corner. Assisted by Oumar Niasse.
